index,Websites URL
1,httpforever.com
2,arslanshadi.com
1,google.com
2,mail.ru
3,microsoft.com
4,facebook.com
5,cloudflare.com
6,googleapis.com
7,amazonaws.com
8,dzen.ru
9,youtube.com
10,apple.com
11,instagram.com
12,gstatic.com
13,office.com
14,twitter.com
15,gtld-servers.net
16,live.com
17,akamai.net
18,linkedin.com
19,googlevideo.com
20,googletagmanager.com
21,akamaiedge.net
22,amazon.com
23,fbcdn.net
24,akadns.net
25,microsoftonline.com
26,doubleclick.net
27,workers.dev
28,windowsupdate.com
29,googleusercontent.com
30,wikipedia.org
31,azure.com
32,bing.com
33,ax-msedge.net
34,github.com
35,t-msedge.net
36,whatsapp.net
37,office.net
38,fastly.net
39,digicert.com
40,14emeliaterracewestroxburyma02132.su
41,wordpress.org
42,netflix.com
43,appsflyersdk.com
44,apple-dns.net
45,youtu.be
46,aaplimg.com
47,icloud.com
48,pinterest.com
49,googlesyndication.com
50,e2ro.com
51,yahoo.com
52,trafficmanager.net
53,sharepoint.com
54,domaincontrol.com
55,nic.ru
56,windows.net
57,ntp.org
58,whatsapp.com
59,skype.com
60,goo.gl
61,tiktokcdn.com
62,msn.com
63,roblox.com
64,dual-s-msedge.net
65,adobe.com
66,x.com
67,spotify.com
68,vimeo.com
69,tiktok.com
70,gvt2.com
71,gandi.net
72,cloudfront.net
73,gvt1.com
74,akam.net
75,tiktokv.com
76,ln-msedge.net
77,ytimg.com
78,bit.ly
79,qq.com
80,zoom.us
81,cloudflare.net
82,ripn.net
83,opera.com
84,office365.com
85,yandex.net
86,wordpress.com
87,google-analytics.com
88,samsung.com
89,root-servers.net
90,baidu.com
91,wa.me
92,cloudflare-dns.com
93,cdninstagram.com
94,vedcdnlb.com
95,nginx.org
96,edgekey.net
97,googledomains.com
98,windows.com
99,reddit.com
100,googleadservices.com
101,nginx.com
102,mozilla.org
103,a2z.com
104,unity3d.com
105,ui.com
106,wac-msedge.net
107,blogspot.com
108,criteo.com
109,edgesuite.net
110,t.me
111,transunion.com
112,amazon-adsystem.com
113,okcdn.ru
114,msedge.net
115,vk.com
116,sentry.io
117,europa.eu
118,snapchat.com
119,intuit.com
120,userapi.com
121,dns.google
122,apache.org
123,app-measurement.com
124,github.io
125,bytefcdn-oversea.com
126,adriver.ru
127,aiv-cdn.net
128,one.one
129,trbcdn.net
130,gravatar.com
131,dropbox.com
132,paypal.com
133,outlook.com
134,msftncsi.com
135,adnxs.com
136,xiaomi.com
137,telekom.de
138,miit.gov.cn
139,yandex.ru
140,cloud.microsoft
141,discord.gg
142,tumblr.com
143,steamserver.net
144,archive.org
145,app-analytics-services.com
146,nist.gov
147,nih.gov
148,pki.goog
149,rubiconproject.com
150,epicgames.com
151,applovin.com
152,registrar-servers.com
153,forms.gle
154,3gppnetwork.org
155,ggpht.com
156,b-cdn.net
157,nytimes.com
158,kaspersky.com
159,amazon.dev
160,dnsowl.com
161,reg.ru
162,f5.com
163,tiktokcdn-us.com
164,spov-msedge.net
165,macromedia.com
166,cdn77.org
167,vecdnlb.com
168,wildberries.ru
169,chatgpt.com
170,flickr.com
171,shopify.com
172,ozon.ru
173,amazonvideo.com
174,pubmatic.com
175,medium.com
176,taboola.com
177,miui.com
178,aliyuncs.com
179,casalemedia.com
180,rbxcdn.com
181,salesforce.com
182,spo-msedge.net
183,adobe.io
184,cnn.com
185,soundcloud.com
186,msftconnecttest.com
187,shifen.com
188,w3.org
189,cdn-apple.com
190,android.com
191,theguardian.com
192,t.co
193,godaddy.com
194,discord.com
195,adtrafficquality.google
196,azurefd.net
197,nflxso.net
